steam_id,game_list,play_time_recommend
299,"['4000', '550', '223530', '70000', '620', '49520', '17020', '17080', '51100', '99900', '102700', '109400', '113420', '218230', '230410', '223710', '248570', '251670', '224260', '206420', '247120', '273110', '282440', '298240', '298260', '301520', '302830', '304050', '304930', '63380', '306830', '307290', '311250', '227940', '258160', '205790', '238590', '223650', '24240', '730', '316390', '343630', '346110', '407530', '346900', '349480', '355180', '355840', '219740', '389570', '391460', '393420', '445900', '273350']","['359550', '311210', '232090', '220', '204300']"
300,"['3910', '12750', '21030', '550', '223530', '24980', '8850', '409720', '8190', '78000', '47870', '42910', '63200', '70000', '20920', '21100', '28050', '102600', '48220', '201280', '205790', '41070', '105450', '104700', '63380', '104900', '208860', '211440', '97330', '50650', '21170', '35140', '57400', '200260', '206210', '49520', '215280', '202170', '200710', '1250', '35420', '4920', '201790', '1930', '7520', '7530', '221640', '227100', '238960', '223710', '250600', '265630', '224260', '241640', '8870', '215530', '35720', '242800', '91310', '216250', '248820', '218620', '238320', '249990', '219990', '260410', '269210', '271590', '270550', '222900', '304930', '250400', '307880', '312990', '314280', '41300', '331120', '331200', '339120', '21690', '221040', '254700', '346900', '307780', '349500', '351570', '359050', '363970', '377160', '386360', '401190', '234140', '424280', '34270', '205230', '205950']","['337000', '373180', '222880', '402570', '444090']"
301,"['30', '2100', '2130', '4000', '6510', '4700', '10500', '25800', '25830', '7830', '3700', '34600', '39550', '550', '223530', '34030', '8190', '48700', '15620', '20570', '1250', '35420', '33910', '33930', '219540', '50620', '21970', '80360', '32500', '56400', '70000', '48720', '91310', '4890', '35450', '236830', '34330', '106000', '72850', '200630', '104900', '40950', '47400', '20540', '228200', '202170', '205100', '219640', '232210', '42160', '206980', '205790', '220240', '226700', '4540', '4550', '4560', '9340', '9350', '9420', '9480', '20530', '20550', '43110', '50650', '55100', '55110', '55140', '55150', '55230', '96800', '216370', '225760', '475150', '203160', '11020', '13140', '203290', '223750', '242920', '233250', '238870', '231430', '107410', '250340', '252490', '233130', '255520', '214950', '241540', '234670', '247350', '265930', '91330', '244450', '222880', '216250', '290080', '295930', '297020', '300080', '301680', '302830', '243470', '304930', '305260', '238090', '63380', '249230', '227940', '315460', '272510', '241930', '322920', '324080', '339010', '239140', '730', '332310', '325610', '335300', '343930', '344760', '346010', '346110', '407530', '346370', '232090', '232150', '370040', '385800', '407840', '409590', '367500', '458170']","['273350', '211420', '43110', '212500', '34030']"
302,"['1200', '1230', '1280', '4000', '220', '320', '340', '360', '380', '400', '420', '550', '223530', '8190', '33910', '33930', '219540', '12210', '12220', '40800', '620', '105600', '35450', '236830', '91600', '65300', '29180', '15560', '205790', '10', '80', '100', '240', '730', '205190', '223220', '61600', '221640', '218680', '113020', '224540', '219890', '17080', '99900', '107900', '109600', '113400', '200210', '208090', '212070', '212800', '218230', '230410', '236390', '286080', '209870', '214420', '248570', '250600', '223750', '224260', '226320', '246280', '230980', '224580', '8870', '1250', '35420', '233720', '224760', '220200', '236090', '231160', '72850', '9480', '40390', '55230', '225640', '91310', '214770', '221680', '231040', '218620', '252950', '257710', '263020', '263760', '265930', '210770', '273110', '278360', '282440', '285900', '291210', '286160', '301520', '304930', '302380', '227700', '311690', '312990', '317360', '317400', '346900', '354500', '354510', '354520', '354530', '354540', '354550', '494710', '351140', '255710', '375950', '380600', '395520', '400040', '417860', '424280']","['238010', '292030', '22380', '218620', '377160']"
303,"['70', '4000', '1250', '35420', '22600', '91600', '105600', '37400', '37420', '204180', '730', '204300', '204360', '49520', '218680', '99900', '109600', '113420', '200210', '208090', '212500', '230410', '236390', '206480', '214420', '223710', '248570', '265770', '42160', '224260', '253710', '6880', '8190', '10', '20', '30', '40', '50', '60', '80', '100', '130', '220', '240', '280', '300', '320', '340', '360', '380', '400', '420', '500', '550', '620', '223530', '252490', '252950', '254020', '254040', '254060', '254200', '257890', '259360', '261180', '264360', '264710', '271570', '271640', '286340', '298160', '238460', '301520', '303470', '304050', '304930', '227940', '205790', '324080', '339010', '330350', '333650', '336020', '219740', '322330', '343340', '346110', '407530', '342480', '351570', '39120', '361850', '363970', '365670', '366890', '367000', '376210', '382490', '386360', '291550', '389570', '393420', '445900', '400240', '402840', '415910', '429680', '410560', '449140', '461560', '464780']","['219640', '251570', '208610', '238210', '291550']"
304,"['220', '340', '3830', '4000', '12200', '17470', '24740', '22200', '1250', '35420', '3590', '24800', '23490', '550', '223530', '8190', '33910', '33930', '219540', '17410', '70300', '8930', '31280', '42910', '70000', '91600', '620', '92100', '105600', '22230', '1500', '1510', '1520', '1530', '113200', '110800', '205790', '38600', '108710', '208090', '207690', '104900', '205530', '108800', '209270', '218040', '10', '80', '100', '240', '730', '215670', '204300', '212680', '220780', '220860', '219640', '232210', '4920', '219740', '322330', '222980', '221640', '224540', '226700', '221810', '220090', '227300', '204080', '17080', '99900', '104700', '109400', '109600', '200210', '206210', '212800', '218230', '230410', '236390', '3483', '239660', '265630', '202090', '224580', '210550', '107410', '226740', '230050', '233720', '235250', '234710', '215690', '41800', '243120', '244710', '9480', '40390', '55230', '225640', '207140', '368730', '218620', '206420', '47790', '47830', '249630', '252950', '3370', '3390', '3480', '3600', '78000', '3540', '3620', '263280', '367690', '264200', '226980', '221100', '271290', '247730', '273110', '274920', '48700', '289950', '293560', '295110', '362300', '433850', '439700', '301520', '65790', '303390', '304930', '238090', '307230', '291480', '313160', '227940', '317400', '323370', '326960', '333930', '346110', '407530', '346330', '355180', '363970', '385890', '388490', '299360', '427730', '444640', '273350']","['214950', '211820', '218230', '346110', '225840']"
305,"['30', '220', '340', '240', '4000', '6860', '22300', '10500', '550', '223530', '57300', '22380', '2450', '31280', '72850', '205790', '730', '219150', '219910', '218680', '99900', '207230', '8870', '218620', '208610', '245170', '249870', '249130', '242700', '265210', '274170', '282900', '304930', '293500', '319510', '214490', '332800', '333930', '2400', '2420', '2430', '341190', '307780', '361640', '219740', '322330', '391540', '354140', '388090', '272890', '420770', '434730', '377160']","['219640', '208610', '359550', '238210', '291550']"
306,"['300', '240', '4000', '220', '320', '340', '360', '380', '400', '420', '12900', '22000', '500', '18300', '12200', '33910', '24840', '57300', '620', '72200', '105600', '7530', '38740', '70600', '207250', '207610', '91310', '730', '205790', '224900', '223470', '222140', '208480', '218680', '221640', '219890', '99900', '109600', '212180', '236390', '238260', '3483', '39120', '248570', '262410', '271290', '224260', '253710', '220050', '8870', '233720', '233270', '242820', '248650', '248970', '218620', '206420', '251630', '252950', '254080', '257750', '221910', '261030', '263760', '265930', '266430', '221100', '270170', '270630', '550', '223530', '224480', '274920', '279720', '286160', '293940', '295110', '362300', '433850', '439700', '296470', '298260', '301520', '304930', '63380', '310370', '312960', '227940', '315260', '317360', '313340', '265550', '327890', '337320', '346010', '355150', '356670', '365670', '374570', '291550', '359550', '427730', '244930', '375600']","['214850', '496300', '307780', '200260', '227300']"
307,"['300', '240', '10', '30', '40', '60', '80', '100', '4000', '6910', '6980', '8400', '2270', '9000', '9010', '12120', '12250', '12140', '12150', '13520', '15100', '20', '50', '70', '130', '220', '280', '320', '340', '360', '380', '420', '19900', '500', '12200', '9480', '17410', '24740', '35700', '6060', '11390', '20900', '32440', '550', '223530', '22370', '10680', '33230', '43110', '8190', '35140', '33910', '33930', '219540', '65700', '50130', '12210', '12220', '65720', '47870', '48190', '92800', '32510', '70000', '400', '620', '20920', '105600', '57900', '44320', '321040', '7610', '33440', '48000', '65790', '24240', '12100', '12110', '12230', '12240', '201870', '110800', '72850', '201570', '67370', '22380', '104900', '211600', '211740', '212680', '204100', '50300', '91310', '113200', '17300', '17330', '17340', '108800', '20500', '20530', '20550', '55110', '202170', '730', '200510', '4920', '200260', '49520', '212580', '219150', '41000', '41050', '41060', '41070', '111600', '200330', '201480', '204340', '227780', '208200', '219640', '232210', '223470', '55230', '220260', '225200', '220240', '203140', '205930', '218680', '102600', '201790', '208480', '49540', '50620', '50650', '388410', '8870', '223850', '208090', '230410', '236390', '238960', '243870', '209870', '223710', '248570', '265630', '224260', '253710', '224580', '34270', '6000', '6020', '6030', '32350', '32370', '32380', '32390', '32400', '32420', '32430', '32470', '32500', '208580', '107410', '232950', '65780', '225140', '7000', '8000', '8140', '203160', '224960', '224980', '225000', '225020', '225300', '225320', '6850', '6860', '6900', '234190', '218620', '35720', '242860', '1200', '1230', '1280', '35450', '236830', '224060', '206420', '239450', '244850', '237110', '225160', '216250', '214560', '235600', '209000', '204450', '233270', '252490', '252950', '205100', '241540', '242050', '233130', '255520', '213670', '257750', '243470', '221910', '249130', '242700', '261640', '105450', '221380', '264710', '205350', '42910', '265930', '267550', '221100', '268850', '4500', '20510', '41700', '8930', '235460', '7670', '8850', '409710', '409720', '260210', '222880', '225840', '278360', '239160', '282440', '8880', '8890', '43160', '285160', '287100', '287120', '288160', '288470', '201810', '224480', '298110', '204360', '238460', '227300', '232010', '258760', '302060', '302080', '301640', '304930', '238090', '8600', '8660', '211500', '63380', '310790', '311340', '280740', '291480', '227940', '10150', '115320', '233720', '319910', '241930', '238010', '8080', '28000', '7940', '10180', '10190', '42680', '42690', '42700', '42710', '202970', '202990', '212910', '214630', '214640', '2620', '2630', '2640', '10090', '274170', '322170', '323370', '45770', '302510', '239140', '211420', '21000', '213330', '313690', '289650', '305620', '333930', '301910', '346010', '307780', '311560', '352400', '255710', '271590', '365720', '218640', '296830', '367500', '292030', '219740', '322330', '374320', '376570', '377160', '208650', '267490', '291550', '234140', '57300', '405310', '280790', '225540', '368500', '391220', '394230', '273350', '319630']","['231430', '268850', '218680', '220200', '214950']"
308,"['300', '220', '340', '4000', '6980', '2270', '7670', '409710', '15390', '12200', '6060', '32370', '6030', '10180', '10190', '550', '223530', '32430', '33230', '24960', '8190', '49800', '33910', '33930', '219540', '50130', '42700', '42710', '22380', '9010', '48190', '620', '70000', '20920', '105600', '105700', '32800', '72850', '102500', '110800', '207610', '104900', '6910', '6920', '28050', '201280', '211420', '205100', '730', '204360', '49520', '202970', '202990', '212910', '205790', '219640', '232210', '223470', '208480', '220240', '219740', '322330', '203680', '203140', '205930', '214510', '222980', '221640', '220440', '47410', '218230', '230410', '238070', '243870', '209870', '250600', '262410', '265630', '271290', '42160', '226320', '224580', '227100', '203160', '230050', '8870', '233720', '242860', '248650', '218620', '206420', '209000', '252330', '253650', '253980', '254000', '8850', '409720', '233130', '255520', '235800', '221910', '261030', '242700', '265930', '267550', '218640', '270170', '271590', '273110', '222880', '277430', '239160', '282440', '285160', '286690', '243930', '291010', '201810', '295110', '362300', '433850', '439700', '298240', '298260', '243470', '304930', '307880', '291480', '227940', '314280', '222900', '238010', '2620', '2630', '2640', '10090', '323370', '302510', '214490', '241930', '238320', '35450', '236830', '274940', '298110', '333930', '314420', '346900', '349700', '356670', '232090', '232150', '360870', '367500', '10680', '49540', '391270', '391460', '299360', '409160', '412470', '417860']","['261640', '363970', '217690', '91600', '302610']"
309,"['30', '1200', '1230', '1280', '4000', '4560', '228200', '2590', '20', '50', '70', '130', '220', '280', '320', '340', '360', '380', '420', '12750', '21000', '17470', '24740', '3590', '32330', '15190', '15390', '19800', '24800', '17450', '32440', '24980', '32450', '24960', '35140', '33930', '219540', '17410', '50130', '65700', '44310', '22380', '33950', '12210', '12220', '65720', '78000', '9930', '32510', '44340', '620', '105600', '102820', '44360', '24240', '12100', '12110', '12120', '12230', '12240', '12250', '110800', '23490', '33520', '33530', '57600', '12200', '64000', '22100', '48700', '48720', '208140', '108800', '213330', '209080', '10', '80', '100', '240', '730', '208580', '200260', '208500', '205790', '34030', '34330', '13520', '19900', '33460', '48220', '48240', '201870', '207490', '208480', '212630', '214250', '4540', '4550', '9340', '9350', '9420', '9480', '15620', '20530', '20550', '20570', '43110', '50620', '50650', '55100', '55110', '55140', '55150', '55230', '56400', '96800', '216370', '225760', '475150', '228260', '57690', '203290', '212800', '236390', '39000', '216150', '223750', '226320', '245550', '343450', '231200', '224580', '224540', '1500', '1510', '1520', '1530', '233450', '44350', '65730', '204450', '220200', '35450', '206190', '72850', '242860', '242920', '240600', '33910', '244850', '243950', '218820', '244030', '239030', '248310', '218620', '47790', '47830', '249590', '249650', '239410', '239820', '236850', '252490', '253130', '255220', '249130', '224860', '247000', '258910', '221910', '238430', '263280', '367690', '264690', '264710', '227300', '265930', '267530', '268870', '4500', '20510', '41700', '237950', '65780', '272470', '273110', '224480', '222880', '235320', '278360', '282800', '285160', '285310', '287980', '295110', '362300', '433850', '439700', '304930', '307880', '311770', '314160', '265590', '314830', '255070', '226580', '7000', '8000', '8140', '35130', '203160', '224960', '224980', '225000', '225020', '225300', '225320', '320400', '323060', '323320', '301970', '305050', '20540', '231430', '235620', '337850', '108200', '343710', '346110', '407530', '245470', '275100', '255710', '47780', '346680', '362890', '6000', '6020', '6030', '6060', '32350', '32370', '32380', '32390', '32400', '32420', '32430', '32470', '32500', '370360', '244050', '3700', '63380', '238090', '8980', '49520', '208650', '209000', '267490', '253030', '393420', '445900', '214950', '10500', '345260', '4700', '211160', '345240', '403190', '272890', '313160', '311210', '3910', '3920', '200510', '244070', '244090', '3900', '3990', '8800', '8930', '16810', '34440', '34450', '34460', '282210', '65980', '7650', '7660', '7730', '7760', '7770', '34270', '205230', '205950']","['230410', '386360', '222880', '291550', '271590']"
310,"['130', '220', '340', '320', '360', '380', '240', '4000', '400', '420', '13520', '17410', '29800', '11340', '1250', '35420', '34900', '550', '223530', '35140', '46420', '33910', '33930', '219540', '34270', '57300', '40800', '63710', '620', '104200', '105600', '96100', '24240', '72850', '55230', '2400', '2420', '2430', '48000', '22380', '108710', '207610', '104900', '57900', '113200', '205100', '200260', '221260', '204360', '219150', '205790', '219640', '232210', '223470', '203140', '205930', '11610', '109600', '203290', '206210', '208090', '212500', '230410', '238070', '238960', '39120', '223710', '248570', '265630', '226320', '239220', '241640', '245550', '343450', '224580', '8870', '31280', '204450', '238210', '210770', '242800', '91310', '216250', '246740', '209000', '206420', '238320', '250620', '250760', '253290', '247120', '233130', '255520', '257710', '221910', '261030', '261110', '261640', '263100', '264200', '211820', '367540', '270550', '273110', '274190', '277430', '278360', '239160', '281370', '282440', '290930', '291270', '293180', '201810', '295550', '222900', '245490', '298260', '298630', '301480', '303390', '304930', '250400', '227700', '310380', '291480', '312990', '314280', '315260', '317360', '313340', '317790', '318430', '319970', '6880', '8190', '203160', '268050', '322500', '242640', '214490', '322330', '326180', '730', '318100', '305620', '282070', '335430', '250900', '339230', '316390', '344040', '301910', '345520', '347430', '347560', '349480', '353560', '354850', '355840', '355860', '8850', '409720', '356670', '356880', '359050', '346680', '362890', '365300', '364690', '366800', '368900', '369200', '371440', '375510', '377160', '388340', '391540', '395200', '398710', '403560', '409160', '417860', '437220', '205230', '205950', '468560', '319630', '519140']","['230410', '386360', '222880', '291550', '271590']"
311,"['70', '220', '340', '240', '1500', '300', '1300', '1309', '1313', '320', '360', '380', '3390', '3320', '2100', '2130', '3830', '4000', '3200', '6600', '2600', '2680', '9500', '7670', '409710', '400', '420', '12120', '12250', '12900', '13200', '13210', '13230', '13240', '13250', '15100', '15150', '15080', '12550', '15700', '15710', '21000', '500', '12200', '22300', '23200', '19980', '9480', '17470', '22120', '22140', '16450', '23310', '19000', '27020', '24740', '3480', '3540', '27000', '26800', '29720', '1250', '35420', '3590', '26900', '10150', '22330', '17390', '17440', '24720', '21660', '15520', '35000', '27900', '24800', '40920', '27300', '10180', '10190', '17450', '550', '223530', '45100', '8850', '409720', '33230', '8190', '50910', '58200', '12100', '12110', '12170', '12180', '12210', '12220', '12230', '12240', '41000', '21130', '33910', '33930', '219540', '38900', '17410', '50130', '45740', '40990', '57300', '70300', '42700', '42710', '45750', '25010', '18040', '67000', '22380', '63700', '18050', '8980', '40800', '78000', '15740', '34270', '4540', '475150', '21100', '48190', '49810', '63710', '94000', '93200', '47920', '620', '57900', '22350', '105600', '105400', '102400', '49600', '19680', '97000', '33460', '48000', '107100', '18070', '70600', '91310', '24240', '45770', '113200', '71340', '115100', '24010', '72850', '55230', '41070', '57400', '200260', '99300', '205790', '10220', '105450', '204340', '105800', '111100', '21170', '206210', '203810', '98400', '15060', '207490', '110800', '201870', '38700', '207610', '41500', '104900', '212680', '108800', '50300', '108710', '202750', '202170', '730', '204300', '206440', '208500', '204360', '207210', '205950', '205230', '205060', '205100', '219640', '232210', '4920', '214870', '223470', '208480', '220240', '221260', '213610', '214230', '4560', '9340', '20540', '43110', '50620', '55110', '228200', '17460', '24980', '214510', '4570', '205070', '218060', '35720', '219200', '212480', '8870', '225260', '209120', '17080', '99900', '113400', '218230', '243870', '245550', '343450', '264380', '3270', '39530', '39560', '65560', '206760', '229660', '227260', '203160', '221380', '220160', '233720', '31280', '234710', '210770', '216250', '219740', '322330', '233270', '240600', '244870', '237110', '207080', '224060', '237630', '218620', '47790', '47830', '235600', '238320', '239200', '206420', '250320', '252330', '252490', '231310', '227300', '58520', '204560', '208730', '209730', '219780', '231140', '234670', '242050', '257750', '235800', '42910', '238010', '238430', '261030', '261570', '39210', '237760', '266840', '267530', '221100', '8930', '235460', '222880', '237870', '274980', '239160', '265930', '213670', '281690', '43160', '285160', '258180', '222900', '35450', '236830', '238460', '301640', '205080', '205090', '250400', '63380', '316790', '286690', '272510', '274940', '274170', '265550', '45760', '214490', '239140', '324680', '326960', '330830', '333600', '339040', '319630', '346110', '407530', '307780', '359050', '232090', '232150', '47780', '311210', '366844', '377160', '385800', '386360', '391540', '402020', '411960', '413150', '415420', '386800', '427920', '434260', '449540']","['292030', '409710', '249130', '287700', '730']"
312,"['20', '50', '70', '130', '240', '4000', '2400', '2420', '2430', '220', '320', '340', '360', '380', '400', '420', '12140', '12900', '12360', '500', '12200', '10090', '9480', '17410', '24740', '9870', '550', '223530', '12210', '12220', '31280', '99810', '620', '105600', '48000', '91310', '55230', '204030', '204340', '730', '204300', '204360', '49520', '220860', '219150', '205790', '4720', '223470', '220240', '218680', '224540', '218060', '212480', '230410', '286080', '39000', '223710', '206500', '245550', '343450', '224580', '233720', '234710', '12100', '12110', '12120', '12230', '12240', '12250', '6880', '8190', '206420', '252950', '263760', '265930', '273110', '222880', '225840', '285310', '33910', '33930', '65700', '65720', '219540', '224480', '304930', '222900', '317360', '317400', '261640', '319510', '298110', '332800', '301910', '386360', '391540', '57300', '225540', '417860', '244930']","['219640', '326460', '208610', '251570', '238210']"
313,"['4000', '33910', '22380', '620', '20920', '24240', '207610', '205790', '219640', '232210', '208480', '17080', '113400', '203290', '212070', '218230', '230410', '236390', '238960', '243870', '206480', '209870', '250420', '265630', '271290', '202090', '224260', '241640', '253710', '203160', '35450', '244850', '246900', '255520', '265210', '218620', '252490', '252950', '221100', '270550', '8930', '225840', '239160', '287700', '291010', '293260', '201810', '300080', '301520', '304030', '304050', '304930', '224600', '307290', '291480', '244630', '312990', '268420', '227940', '316010', '317360', '323370', '730', '298110', '333930', '322330', '337950', '273350', '319630', '349700', '354500', '354510', '354520', '354530', '354540', '354550', '494710', '355150', '355500', '306130', '368900', '219740', '373330', '373360', '257400', '380600', '291550', '391460', '287920', '299360', '407530', '236110', '417860', '429700', '434420', '244930', '440760', '466910', '496920', '479130']","['230410', '386360', '222880', '291550', '271590']"
314,"['220', '340', '240', '320', '360', '380', '4000', '420', '8500', '19900', '18500', '12210', '9480', '17470', '24740', '1250', '35420', '12830', '24860', '24800', '20900', '11450', '12710', '12810', '550', '223530', '12840', '40100', '24960', '8190', '35140', '49900', '400', '24780', '17410', '39800', '50510', '9500', '22000', '22180', '24420', '25010', '40720', '4500', '41700', '35130', '8980', '12220', '72400', '41300', '41800', '42500', '55000', '47870', '26800', '29180', '40700', '93200', '39120', '4540', '475150', '2500', '11200', '35700', '44320', '321040', '105600', '20920', '31270', '7760', '42160', '206980', '16450', '50130', '98800', '22230', '18700', '26500', '26900', '41100', '55040', '70300', '96200', '6910', '57400', '200260', '111400', '17710', '98100', '98200', '102840', '55230', '65800', '38700', '38720', '38740', '1500', '1510', '1520', '1530', '6120', '40800', '63710', '94200', '99700', '2210', '205790', '620', '67370', '7730', '22380', '207170', '207650', '110800', '6920', '203630', '6900', '50300', '7670', '409710', '211360', '7660', '7770', '7650', '212680', '108800', '3830', '48000', '57300', '204060', '107100', '207080', '12750', '91310', '113200', '204220', '115120', '214790', '72000', '215510', '200510', '49520', '209540', '214560', '206440', '208500', '203140', '219640', '232210', '57690', '6850', '4560', '9340', '20540', '43110', '50620', '55110', '228200', '4570', '227320', '200900', '218130', '35720', '204080', '211500', '8930', '225260', '21690', '218060', '8870', '227080', '233450', '44350', '202270', '233720', '224760', '65930', '222730', '72850', '242110', '240600', '201420', '237530', '239030', '221680', '218620', '47790', '47830', '214550', '8850', '409720', '238010', '263280', '367690', '227300', '203160', '258180', '287700', '246900', '255520', '265210', '201700', '255220', '310380', '310560', '298110', '241560', '234630', '271590', '266410', '346110', '407530', '239140', '232090', '232150', '292030', '374570', '234140', '391220', '244210', '268500', '4580', '4700', '4760', '4770', '9310', '9450', '34270', '15620', '20570', '34330', '56400', '294860', '301120', '231430', '325610', '391040', '273350']","['242860', '226580', '4000', '9900', '252490']"
315,"['240', '4000', '15100', '22330', '6060', '11390', '33230', '8930', '42910', '48190', '105600', '42680', '42690', '201570', '34330', '22380', '201870', '730', '208480', '218230', '236390', '237310', '226320', '72850', '224420', '107410', '242050', '249130', '221100', '273110', '222880', '283290', '285160', '289650', '267550', '297020', '65790', '243470', '8600', '8660', '211500', '63380', '315260', '205790', '221380', '311560', '368500', '6000', '6020', '6030', '32350', '32370', '32380', '32390', '32400', '32420', '32430', '32470', '32500', '208580', '377160', '253030', '442080']","['47890', '373420', '334230', '346110', '218620']"
316,"['240', '4000', '220', '320', '340', '360', '380', '400', '420', '18500', '6060', '23490', '22370', '8190', '33910', '33930', '219540', '8930', '40800', '50300', '620', '105600', '57900', '7610', '9350', '9420', '41070', '22350', '2400', '2420', '2430', '67370', '64000', '58610', '208090', '102600', '1500', '1510', '1520', '1530', '105800', '211600', '204300', '209080', '730', '212680', '204360', '49520', '200710', '91600', '205790', '7670', '8870', '200510', '409710', '223220', '4920', '223470', '55230', '220240', '219740', '322330', '202970', '202990', '212910', '201790', '113020', '212480', '219890', '105430', '212160', '212500', '212800', '218230', '230410', '236390', '232450', '245550', '343450', '230980', '204080', '221380', '233740', '225420', '233450', '210770', '224760', '233270', '236090', '206190', '231160', '72850', '233250', '98200', '234390', '214770', '231040', '239070', '248820', '218620', '251470', '252410', '252490', '252950', '249990', '200170', '208610', '245170', '107410', '247350', '257850', '42910', '221910', '260230', '261640', '263300', '211820', '367540', '221100', '550', '223530', '271920', '94400', '222880', '244850', '8880', '8890', '247000', '286160', '236430', '294810', '35450', '236830', '298630', '238460', '301520', '304930', '287450', '63380', '38700', '38720', '38740', '310370', '240760', '259130', '404730', '244630', '312990', '268420', '247080', '255070', '317360', '261180', '324810', '327890', '211420', '45760', '332500', '249050', '105000', '203830', '214340', '219910', '220740', '230820', '241910', '243200', '255280', '255320', '268540', '337150', '244770', '338170', '343750', '345820', '346010', '346110', '407530', '255710', '306130', '359320', '370240', '376570', '367580', '386360', '417860', '427270', '310380', '442210', '374320', '394230', '461560', '474820', '50130', '496920', '273350']","['232090', '244850', '230270', '337000', '10090']"
317,"['300', '30', '40', '50', '70', '130', '220', '340', '320', '360', '380', '2100', '2130', '2630', '3920', '4700', '4000', '6900', '6850', '6860', '6910', '2400', '2420', '2430', '4560', '228200', '2270', '2200', '2350', '4760', '4770', '420', '3270', '11450', '7940', '12100', '12230', '12120', '12250', '13240', '13230', '13210', '13520', '15300', '13630', '13620', '20510', '17300', '13540', '15000', '15120', '19830', '19840', '10090', '17390', '9480', '10500', '21760', '21910', '1250', '35420', '10150', '6060', '6000', '15190', '15390', '19800', '10120', '36000', '38440', '38400', '38410', '38420', '39800', '32370', '20500', '6030', '6020', '24860', '24840', '39530', '550', '223530', '33180', '41000', '32430', '22370', '3730', '45710', '34030', '8190', '31700', '32470', '24780', '4850', '57300', '8930', '12210', '12220', '40800', '9010', '80000', '70000', '63000', '91600', '620', '95300', '72200', '105600', '97000', '107100', '70600', '24240', '17710', '113200', '65800', '107600', '41070', '22350', '205790', '203770', '207250', '102500', '104900', '211600', '211740', '50300', '205550', '98400', '216910', '209080', '216110', '10', '80', '100', '240', '730', '208580', '212680', '214970', '200710', '220860', '209670', '219150', '205100', '204630', '219640', '232210', '220820', '4720', '4920', '223470', '55230', '220240', '222980', '12110', '12240', '227200', '227280', '368730', '219890', '13140', '17080', '99900', '109600', '200210', '203290', '208090', '212070', '212160', '212180', '212800', '218230', '230410', '236390', '238070', '238960', '39000', '39120', '223710', '239660', '262410', '265630', '265770', '42160', '224260', '241640', '246280', '224580', '221040', '33900', '33930', '65700', '65720', '219540', '221380', '233740', '233860', '224500', '227160', '227680', '233470', '233720', '219740', '322330', '233230', '235820', '225600', '234940', '215690', '222730', '238890', '206190', '72850', '241600', '241720', '233980', '35700', '35720', '242760', '242860', '242880', '243120', '238240', '245130', '218820', '207140', '246300', '246700', '246840', '246900', '255520', '265210', '241620', '239030', '214560', '239070', '248450', '248610', '248820', '239350', '218620', '238280', '249610', '250340', '250500', '250560', '250580', '237740', '251170', '251470', '252570', '252770', '253030', '253290', '253330', '253430', '253610', '236450', '107410', '63700', '63710', '205060', '205070', '205080', '205090', '218060', '241540', '257050', '257630', '257710', '257750', '258050', '258070', '235800', '250400', '247910', '49520', '242680', '259390', '259620', '94400', '221910', '238430', '219830', '233700', '261880', '262120', '262260', '262830', '263060', '263360', '263420', '263440', '263480', '263740', '263760', '263820', '264140', '264200', '264280', '264540', '264730', '108600', '265930', '266150', '266210', '266230', '266310', '266430', '233150', '211820', '367540', '226840', '268220', '249050', '25000', '234190', '268650', '268750', '269210', '269370', '269610', '270010', '270090', '270110', '270150', '270450', '270510', '210770', '204300', '7670', '8850', '8870', '409710', '409720', '271590', '228380', '272860', '271920', '272060', '273110', '273500', '274190', '274290', '222880', '274520', '237870', '274900', '225840', '276890', '277430', '277870', '22100', '48700', '48720', '278890', '280460', '280910', '235210', '283290', '285480', '286040', '286140', '286770', '288020', '1200', '1230', '1280', '35450', '35460', '35480', '236830', '289760', '295730', '295770', '296300', '416880', '296470', '296730', '296970', '297120', '298520', '298630', '204360', '238460', '299700', '299780', '214190', '300380', '302610', '304050', '304930', '305780', '26800', '224600', '306830', '302380', '307090', '307170', '307290', '307880', '227700', '310370', '310380', '311870', '291480', '215080', '312990', '313080', '313120', '9800', '227940', '313980', '314230', '314250', '206420', '315830', '317110', '317360', '317410', '317710', '258160', '265650', '241930', '321360', '17580', '312150', '41300', '322170', '287450', '323320', '323370', '323430', '324810', '324830', '258970', '208750', '327860', '223650', '227180', '329130', '329770', '330580', '17570', '331440', '332500', '282070', '215470', '333930', '334230', '337320', '338000', '342300', '342980', '346010', '346450', '342480', '350600', '351570', '266130', '310890', '352030', '352700', '355180', '355840', '356570', '356670', '232090', '232150', '360760', '360940', '361630', '346680', '362890', '365670', '369580', '370100', '257400', '381020', '383030', '383120', '384360', '384400', '386360', '386880', '291550', '387860', '389160', '389570', '385240', '393610', '394870', '395500', '397690', '404410', '299360', '407530', '282440', '411760', '412140', '280790', '417860', '231430', '428950', '424280', '434730', '440090', '420790', '379720', '474750', '475150', '48000', '488280', '496920']","['214950', '386360', '218230', '214850', '113200']"
